squirrel_id,sex,year,observer,cohort,grid,trialnumber,trialdate,taglft,tagrt,colours,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,comments,mastyear,litter_id,fieldBDate,litter_size,n1_date,n1_weight,n2_date,n2_weight,dam_id,part,julian_trialdate,oft1,mis1,gridyear
22759,F,2017,ARM,2017,KL,2,7/23/17,M4630,M4631,Y*/B*,99.206,28,18,117.798,4.532,15.756,253.702,450,271.5,15.738,0,298.024,0.7,300,N,NA,0,7736,5/3/17,4,123,8.6,5/28/17,47,19583,123,204,0.7883680614707254,0.8722960503116564,KL 2017
22985,F,2017,ARM,2017,SU,2,7/29/17,M4811,M4812,Y*/B*,71.699,25,7,183.419,61.704,26.479,197.505,450,251.741,29.575,0,273.407,0.924,300,Y,NA,0,7938,5/13/17,3,136,15.3,6/7/17,45.3,21907,133,210,0.5122653888413552,0.8064660409855477,SU 2017
22898,M,2017,ARM,2017,KL,2,7/21/17,M4807,M4808,R*/R,17.297,5,1,414.093,38.176,6.207,359.141,450,1.317,295.929,0,1.035,0.996,300,Y,NA,0,7823,5/8/17,3,128,12.9,6/2/17,51,21215,128,202,-1.813902372,-0.558377307,KL 2017
23000,F,2017,ARM,2017,KL,2,8/2/17,M1716,M1722,O*/Y,34.775,8,4,62.678,1.869,57.006,387.735,450,296.198,1.667,0,298.182,1.002,300,Y,NA,0,8138,5/14/17,2,136,13.7,6/12/17,59.9,21578,134,214,-1.515783979,1.0430567321407789,KL 2017
23041,M,2017,ARM,2017,KL,2,7/30/17,M4944,M4945,Y*/P,26.515,3,1,45.687,4.974,175.596,405.612,450,41.816,258.503,0,285.955,1.176,300,N,NA,0,7832,5/16/17,3,140,19.2,6/10/17,46.8,21382,136,211,-2.306021615,-1.189971409,KL 2017
22979,M,2017,ARM,2017,SU,2,7/24/17,M4820,M4821,Y*/Y*,45.803,5,5,49.784,33.547,4.276,375.272,450,264.905,22.852,0,18.012,18.012,300,Y,NA,0,7908,5/9/17,3,136,25.7,6/3/17,60.1,19742,129,205,-0.889455525,1.7065585616324461,SU 2017
22685,F,2017,ARM,2017,SU,2,7/24/17,M4654,M4653,R*/B*,403.14,1,2,422.489,6.725,4.924,6.864,450,261.073,28.615,0,294.459,18.685,300,N,NA,0,8034,4/24/17,2,114,10.8,5/20/17,65.8,20061,114,205,2.022813659744554,0.7128140093382597,SU 2017
23079,M,2017,ARM,2017,KL,2,7/29/17,M4917,M4918,G*/R,120.047,37,4,250.416,1.302,12.675,187.849,450,56.867,217.777,0,298.472,77.268,300,Y,NA,0,7851,5/13/17,3,143,24.8,6/7/17,46.2,21269,133,210,0.35396937369535497,-1.272533133,KL 2017
22874,M,2017,ARM,2017,KL,2,7/24/17,M4967,M4968,O*/G,4.764,1,2,76.176,0,24.501,435.897,450,299.705,0,0,206.59,117.968,300,Y,NA,0,7816,5/8/17,4,128,8.9,6/5/17,45.5,20995,128,205,-2.100594911,0.9378827444868404,KL 2017
23027,F,2017,ARM,2017,KL,2,7/29/17,M4978,M4979,R*/O,0.818,1,2,210.016,0,8.363,446.313,450,0,299.833,0,188.629,188.629,300,N,NA,0,7796,5/13/17,3,138,20.1,6/7/17,56,20688,133,210,-2.333885511,-1.935013842,KL 2017
22864,M,2017,ARM,2017,KL,2,7/20/17,M2182,M2183,W*/R,31.28,14,6,178.938,0.865,20.763,389.815,450,0,76.206,0,233.626,233.626,300,N,NA,0,7928,5/6/17,2,127,11.2,5/31/17,48.5,21075,126,201,-1.380520069,-1.264083821,KL 2017
22657,M,2017,ARM,2017,KL,2,7/27/17,M4624,M4625,R*/B*,277.88,14,9,97.573,68.623,10.844,47.733,450,19.344,249.144,0,237.027,237.027,300,N,NA,0,7822,4/22/17,3,113,11.9,5/18/17,54.5,21155,112,208,2.721131955408729,-1.972489211,KL 2017
22966,F,2017,ARM,2017,SU,2,7/25/17,M4648,M4649,B*/Y*,13.754,1,1,0,0,9.854,438.132,450,0,299.818,0,250.344,250.344,300,Y,NA,0,7922,5/8/17,3,128,23.7,6/2/17,57.4,20948,128,206,-1.925353095,-2.380142987,SU 2017
22659,F,2017,ARM,2017,KL,2,7/6/17,M4670,M4671,Y*/G*,58.054,57,7,335.088,4.7,3.237,213.288,450,0.234,296.527,0,298.651,298.651,300,N,NA,0,7822,4/22/17,3,113,11.2,5/18/17,49.8,21155,112,187,0.3186877047972989,-2.712926112,KL 2017
23025,M,2017,ARM,2017,KL,2,7/24/17,M4955,M4956,G*/Y,4.315,5,0,442.748,5.77,0,330.238,450,0,299.513,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,7745,5/9/17,3,138,26.2,6/3/17,46.5,19766,129,205,-2.150037063,-2.736990649,KL 2017
22865,F,2017,ARM,2017,KL,2,7/21/17,M4690,M4691,O*/B,3.71,3,0,446.966,8.489,0,430.768,450,0,299.999,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,7928,5/6/17,2,127,11.8,5/31/17,51,21075,126,202,-2.60758809,-2.739154189,KL 2017
23080,M,2017,ARM,2017,KL,2,7/12/17,M4919,M4920,Y*/G,145.02,8,11,9.043,200.179,22.522,87.697,450,0,298.098,0,292.593,292.593,300,Y,note that this is technically trial #2,0,7851,5/13/17,3,143,25.9,6/7/17,46.5,21269,133,193,2.9131542413130003,-2.677259286,KL 2017
23525,M,2018,ARM,2018,KL,2,7/15/18,F9496,F9497,W*/B,14.74,5,1,434.051,2.749,2.702,402.801,450,231.434,35.532,28,10.11,0.033,300,Y,NA,0,8723,4/30/18,2,122,13.1,5/28/18,63.6,20079,120,196,-2.354823808,3.4175125425124606,KL 2018
23566,F,2018,ARM,2018,KL,2,7/14/18,F9330,F9331,G*/B*,160.744,23,6,206.22,21.814,8.908,207.249,450,158.323,91.189,19,22.023,0.334,300,Y,NA,0,8777,4/25/18,2,125,24.1,5/22/18,NA,21022,115,195,0.653842201,2.2173352732187865,KL 2018
23558,F,2018,ARM,2018,KL,2,7/17/18,F9470,F9470,B*/O,137.675,111,9,236.903,9.066,4.27,135.697,450,187.184,59.659,3,177.945,0.033,300,Y,NA,0,8699,4/30/18,3,125,27.6,5/28/18,63.2,19583,120,198,2.590481680102863,0.911549307,KL 2018
23607,M,2018,ARM,2018,KL,2,7/26/18,M5524,M5596,B/W*,110.639,53,10,233.783,32.597,12.344,80.332,450,269.535,22.454,3,2.136,1.668,300,Y,NA,0,8738,5/3/18,3,128,12.8,5/30/18,40.1,20297,123,207,1.722932726135445,2.0403272452191876,KL 2018
23573,F,2018,ARM,2018,KL,2,7/26/18,F9212,F9213,O*/R,201.29,78,9,101.269,78.051,6.906,73.331,450,226.588,43.278,0,296.729,0.033,300,Y,NA,0,8778,4/30/18,2,126,15.2,5/27/18,52.2,21023,120,207,3.462576921384503,0.5569873703182198,KL 2018
